,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
0,"#Apple is eyeing a September 7 launch date for its new iPhone 14!
https://t.co/tcuKFXiPPK", apple is eyeing september 7 launch date for its new iphone 14 ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,63,12
1,The latest Apple Watch Daily News! https://t.co/aB0ssBjF4z #applewatch #apple,the latest apple watch daily news applewatch apple,0.25,0.45,neutral,0.0,1.0,0.0,0.0,50,8
2,C$19.99 - #FreeShipping | Super sale means super savings!  Topfun Back to School Glitter Banner Apple #Topfun       ?? https://t.co/IiWn59R2Sr       #sharious  #canadianbestseller  #canada #usa #product #Apple  #Back  #Banner  #First  #Garland  #Glitter . https://t.co/zWwdmFCKLS,c 19 99 freeshipping super sale means super savings topfun back to school glitter banner apple topfun sharious canadianbestseller canada usa product apple back banner first garland glitter ,0.18333333333333332,0.3333333333333333,positive,0.0,0.762,0.238,0.8316,189,28
3,"Vietnam to make Apple Watch and MacBook for first time ever.
Read more to the link below👇
https://t.co/5Lnm3rhP8P
#digitalmore #vietnam #applewatch #macbook #apple #technology https://t.co/WNHdqAAtme",vietnam to make apple watch and macbook for first time ever read more to the link below digitalmore vietnam applewatch macbook apple technology ,0.375,0.41666666666666663,neutral,0.0,1.0,0.0,0.0,144,23
4,"When you need to write Unit Tests but long weekend is about to slide in xD

#codinghumour #Apple #iOS https://t.co/z0FANHnLcg",when you need to write unit tests but long weekend is about to slide in xd codinghumour apple ios ,-0.05,0.4,positive,0.0,0.776,0.224,0.7351,98,19
5,"iPhone Price Comparison https://t.co/yYf3dmB4Wt 

#apple #iphone $aapl #deals #shopping https://t.co/sA6iJF5PMO",iphone price comparison apple iphone aapl deals shopping ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,57,8
6,"Be prepared for major moves in #Apple 🍎
#Stock has seriously low #volatility &amp; it is due for pump or dump.🚀❌
#StockMarket #trading https://t.co/O6mOZ8G0D1",be prepared for major moves in apple stock has seriously low volatility amp it is due for pump or dump stockmarket trading ,-0.020833333333333332,0.39166666666666666,negative,0.243,0.684,0.072,-0.5423,123,22
7,"I just published The M2 MacBook Air — still making me happy! https://t.co/wcnucjiC03 

Why I've totally fallen in love with M2 MacBook Air!

#Apple #M2MacBookAir #MacBookAir https://t.co/UU686035l7",i just published the m2 macbook air still making me happy why ve totally fallen in love with m2 macbook air apple m2macbookair macbookair ,0.43333333333333335,0.7833333333333333,positive,0.09,0.646,0.264,0.7484,138,24
8,"#Apple releases #security #updates for #iOS, #iPadOS, and #macOS platforms to fix two new zero-day #vulnerabilities that are #exploited by threat actors to compromise users. #CyberAttack #CyberSecurity

Read: https://t.co/mZIC4ePWEp", apple releases security updates for ios ipados and macos platforms to fix two new zero day vulnerabilities that are exploited by threat actors to compromise users cyberattack cybersecurity read ,0.13636363636363635,0.45454545454545453,negative,0.226,0.706,0.068,-0.6808,195,29
9,"More Holistic Health Experiences From Watches That Know You Better – Samsung Global Newsroom 
https://t.co/yLKMnDMtXM
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #IOT #AI #software #telecom

                        Samsung",more holistic health experiences from watches that know you better samsung global newsroom seo google apple ios cybersecurity robotics iot ai software telecom samsung,0.3333333333333333,0.3333333333333333,positive,0.0,0.888,0.112,0.4404,166,24
10,"OUT NOW ON #Apple iOS and Mac 
An atmospheric puzzler with lasers and mirrors, that introduces a mystical and ancient world, full of challenging puzzles.

*Supports Mac M1

https://t.co/qI4Bh35fhQ

#mobilegamer #app #macappstore #ios #game #gamer https://t.co/7mKLUo6oQW",out now on apple ios and mac an atmospheric puzzler with lasers and mirrors that introduces mystical and ancient world full of challenging puzzles supports mac m1 mobilegamer app macappstore ios game gamer ,0.11249999999999999,0.48750000000000004,positive,0.0,0.883,0.117,0.4767,206,33
11,"Universal Robots new VPs for HR and marketing share a vision for growth 
https://t.co/DvN6JUIL3U
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #IOT #AI #software #telecom

Two experienced women have been brought in this year to lead the HR and marketing efforts at...",universal robots new vps for hr and marketing share vision for growth seo google apple ios cybersecurity robotics iot ai software telecom two experienced women have been brought in this year to lead the hr and marketing efforts at ,0.31212121212121213,0.4515151515151515,positive,0.0,0.841,0.159,0.7003,231,39
12,"Apple is expanding ads on iPhone and iPad - #Apple had something bigger in mind, when they stopped third-party app tracking, see what that is here https://t.co/rOw3l3VMUd @nfarley10 via @sengineland #PPC https://t.co/epfS5LRemq",apple is expanding ads on iphone and ipad apple had something bigger in mind when they stopped third party app tracking see what that is here via ppc ,0.0,0.25,positive,0.062,0.85,0.088,0.2023,150,28
13,"@sondesix My phones are tools for productivity and entertainment. I'll use whatever tech that helps with that. Currently, I use an #iPhone, #Pixel, #s22ultra, and #iPadpro 
I'm finding the #apple products boring and limiting however so I'm trading stuff in for the #Fold4", my phones are tools for productivity and entertainment ll use whatever tech that helps with that currently use an iphone pixel s22ultra and ipadpro m finding the apple products boring and limiting however so m trading stuff in for the fold4,-0.5,0.7,positive,0.053,0.824,0.124,0.4767,241,41
14,"How do you use SEO to scale revenue and market share? 
https://t.co/N34ktYPjjz
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #IOT #AI #software #telecom",how do you use seo to scale revenue and market share seo google apple ios cybersecurity robotics iot ai software telecom,0.0,0.0,positive,0.0,0.901,0.099,0.296,120,21
15,"How to clean iPhone Microphone [Leave No Dirt Behind]
#iphone #apple #device #guides #tech #howto

https://t.co/qBh80d9Sth",how to clean iphone microphone leave no dirt behind iphone apple device guides tech howto ,-0.016666666666666663,0.7,negative,0.297,0.564,0.138,-0.2732,90,15
16,Coming soon on https://t.co/E50aF2HuOF Sunday's are about to get REAL!!!! #podcast #internetradio #hiphop #music #sports #streamcaster #barsandhoopsradio #Radio #new #rap #bars #CLICKTHELINKINMYBIO Download the app for #Apple and #Android 🏀⚾️🏉🥊🏒🎾 https://t.co/rHEjHBag0w,coming soon on sunday are about to get real podcast internetradio hiphop music sports streamcaster barsandhoopsradio radio new rap bars clickthelinkinmybio download the app for apple and android ,0.16818181818181818,0.3772727272727273,neutral,0.0,1.0,0.0,0.0,195,28
17,"FTC threatens to sue Kochava over revealing abortion clinic visits 
https://t.co/9yhR86Zbht
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #IOT #AI #software #telecom
 
Placeholder while article actions loadThe Federal Trade Commission is threatening to sue an adtech c...",ftc threatens to sue kochava over revealing abortion clinic visits seo google apple ios cybersecurity robotics iot ai software telecom placeholder while article actions loadthe federal trade commission is threatening to sue an adtech ,0.0,0.0,negative,0.158,0.842,0.0,-0.7184,234,34
18,"Apple, Google release security updates to fix zero-days in Chrome, iOS, macOS #Apple, #Google, #0Day, #APT https://t.co/YdFc6QlCBl https://t.co/OsQ9YKy6fa",apple google release security updates to fix zero days in chrome ios macos apple google 0day apt ,0.6,1.0,positive,0.0,0.87,0.13,0.34,97,17
19,"Apple iPhone 14 Pro Max price in Pakistan is expected to be Rs. 350,000. iPhone 14 Pro Max Expected to be launched on Oct 31, 2022. This is 8 GB RAM / 256 GB internal storage variant of Apple which is available in Various colours.

#Dekho #Pakistan #Apple #Iphone14 
#GforGashti https://t.co/m7DHvTsb7z",apple iphone 14 pro max price in pakistan is expected to be rs 350 000 iphone 14 pro max expected to be launched on oct 31 2022 this is 8 gb ram 256 gb internal storage variant of apple which is available in various colours dekho pakistan apple iphone14 gforgashti ,0.04,0.34,positive,0.0,0.97,0.03,0.128,265,50
